#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
86-24.fasta	CP038408.1	125739	126317	espA	1-579/579	===============	0/0	100.00	100.00	vfdb	NP_290256	(espA) Type III secretion system translocator protein EspA [EspA (VF0198)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	126330	127454	espD	1-1125/1125	===============	0/0	100.00	100.00	vfdb	NP_290255	(espD) Type III secretion system translocator protein EspD pore protein [EspD (VF0200)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	127475	128413	espB	1-939/939	===============	0/0	100.00	100.00	vfdb	NP_290254	(espB) Type III secretion system translocator protein EspB pore protein [TTSS (VF0191)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	128420	128827	cesD2	1-408/408	===============	0/0	100.00	100.00	vfdb	NP_290253	(cesD2) chaperone for EspD [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	128863	129084	escF	1-222/222	===============	0/0	100.00	100.00	vfdb	NP_290252	(escF) Type III secretion system needle filament protein EscF [TTSS (VF0191)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	129090	129368	escG	1-279/279	===============	0/0	100.00	100.00	vfdb	NP_290251	(escG) chaperone for EscF [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	129453	130199	espF	1-747/747	===============	0/0	100.00	100.00	vfdb	NP_290250	(espF) Type III secretion system effector EspF [EspF (VF0196)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	232297	232415	entD	1-119/771	===...../......	2/2	15.30	87.50	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]
86-24.fasta	CP038408.1	301084	301195	entD	1-113/771	===...../......	1/1	14.53	86.73	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]
86-24.fasta	CP038408.1	322116	322916	chuV	1-801/801	===============	0/0	100.00	98.25	vfdb	NP_756180	(chuV) ATP-binding hydrophilic protein ChuV [Chu (VF0227)] [Escherichia coli CFT073]
86-24.fasta	CP038408.1	322883	323875	chuU	1-993/993	===============	0/0	100.00	97.78	vfdb	NP_756179	(chuU) heme permease protein ChuU [Chu (VF0227)] [Escherichia coli CFT073]
86-24.fasta	CP038408.1	323926	324547	shuY	1-622/624	===============	0/0	99.68	96.30	vfdb	YP_405015	(shuY) shu locus protein ShuY [Shu (VF0256)] [Shigella dysenteriae Sd197]
86-24.fasta	CP038408.1	324547	325041	shuX	1-495/495	===============	0/0	100.00	98.79	vfdb	YP_405016	(shuX) shu locus protein ShuX [Shu (VF0256)] [Shigella dysenteriae Sd197]
86-24.fasta	CP038408.1	325054	326391	chuW	1-1338/1338	===============	0/0	100.00	96.64	vfdb	NP_756176	(chuW) Putative oxygen independent coproporphyrinogen III oxidase [Chu (VF0227)] [Escherichia coli CFT073]
86-24.fasta	CP038408.1	326411	327403	shuT	1-993/993	===============	0/0	100.00	98.19	vfdb	YP_405017	(shuT) periplasmic binding protein ShuT [Shu (VF0256)] [Shigella dysenteriae Sd197]
86-24.fasta	CP038408.1	328008	329990	shuA	1-1983/1983	===============	0/0	100.00	99.50	vfdb	YP_405019	(shuA) outer membrane heme/hemoglobin receptor ShuA [Shu (VF0256)] [Shigella dysenteriae Sd197]
86-24.fasta	CP038408.1	330039	331067	shuS	1-1029/1029	===============	0/0	100.00	98.74	vfdb	YP_405020	(shuS) heme/hemoglobin transport protein ShuS [Shu (VF0256)] [Shigella dysenteriae Sd197]
86-24.fasta	CP038408.1	442811	442945	entD	3-137/771	===...../......	2/2	17.38	89.71	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]
86-24.fasta	CP038408.1	727636	727770	entD	1-136/771	===...../......	2/3	17.38	81.75	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]
86-24.fasta	CP038408.1	851433	853564	efa1	1-2133/9672	====..../......	1/1	22.04	99.81	vfdb	AAD49229	(efa1) EHEC factor for adherence [Efa-1/LifA (VF0204)] [Escherichia coli O111:H- str. E45035]
86-24.fasta	CP038408.1	855439	856113	nleE	1-675/675	===============	0/0	100.00	100.00	vfdb	NP_289554	(nleE) Type III secretion system effector NleE [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	856162	857151	nleB1	1-990/990	===============	0/0	100.00	100.00	vfdb	NP_289553	(nleB1) Type III secretion system effector nleB1 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	857759	859408	espL2	1-1650/1650	===============	0/0	100.00	99.94	vfdb	NP_289551	(espL2) Type III secretion system effector espL2 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	913176	913300	entD	1-126/771	===...../......	3/3	16.08	89.76	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]
86-24.fasta	CP038408.1	1052358	1052481	entD	1-125/771	===...../......	2/3	15.95	89.68	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]
86-24.fasta	CP038408.1	1080356	1080484	entD	10-140/771	===...../......	2/2	16.73	83.97	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]
86-24.fasta	CP038408.1	1241264	1242322	espW	1-1059/1059	===============	0/0	100.00	100.00	vfdb	NP_289177	(espW) Type III secretion system effector EspW [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	1243234	1243824	espM2	1-591/591	===============	0/0	100.00	100.00	vfdb	NP_289175	(espM2) Type III secretion system effector EspM2 Rho guanine exchange factor [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	1917141	1917883	gmd	16-758/1119	===========....	0/0	66.40	75.37	vfdb	YP_001007257	(gmd) GDP-mannose 46-dehydratase [O-antigen (VF0392)] [Yersinia enterocolitica subsp. enterocolitica 8081]
86-24.fasta	CP038408.1	2028028	2028957	espFu/tccP	226-1155/1155	..=============	0/0	80.52	96.45	vfdb	NP_288437	(espFu/tccP) Type III secretion system effector TccP [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	2087205	2088164	stx2A	1-960/960	===============	0/0	100.00	100.00	vfdb	NP_286976	(stx2A) shiga-like toxin II A subunit encoded by bacteriophage BP-933W [Stx (VF0206)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	2088176	2088445	stx2B	1-270/270	===============	0/0	100.00	100.00	vfdb	NP_286977	(stx2B) shiga-like toxin II B subunit encoded by bacteriophage BP-933W [Stx (VF0206)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	2214224	2214465	pet	3647-3888/3888	..............=	0/0	6.22	87.60	vfdb	YP_006099165	(pet) Pet serine protease precursor autotransporter [Pet (VF0217)] [Escherichia coli O44:H18 042]
86-24.fasta	CP038408.1	2278784	2279617	csgG	1-834/834	===============	0/0	100.00	83.21	vfdb	NP_460110	(csgG) curli production assembly/transport protein CsgG [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
86-24.fasta	CP038408.1	2279644	2280060	csgF	1-417/417	========/======	3/8	99.04	81.23	vfdb	NP_460111	(csgF) curli production assembly/transport protein CsgF [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
86-24.fasta	CP038408.1	2280085	2280474	csgE	1-396/396	========/======	1/6	98.48	79.29	vfdb	NP_460112	(csgE) curli production assembly/transport protein CsgE [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
86-24.fasta	CP038408.1	2280479	2281129	csgD	1-651/651	===============	0/0	100.00	81.57	vfdb	NP_460113	(csgD) DNA-binding transcriptional regulator CsgD [curli fibers/thin aggregative fimbriae (AGF) (AI094)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
86-24.fasta	CP038408.1	2281883	2282338	csgB	1-456/456	========/======	2/2	99.78	83.37	vfdb	NP_460114	(csgB) minor curlin subunit precursor curli nucleator protein CsgB [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
86-24.fasta	CP038408.1	2291350	2291461	entD	3-114/771	===...../......	2/2	14.40	85.84	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]
86-24.fasta	CP038408.1	2307803	2307939	flgM	91-227/258	.....=========.	0/0	53.10	81.02	vfdb	YP_001006766	(flgM) negative regulator of flagellin synthesis [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]
86-24.fasta	CP038408.1	2309902	2310371	flgD	1-461/576	========/====..	3/9	80.03	75.53	vfdb	YP_001006762	(flgD) flagellar basal-body rod modification protein FlgD [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]
86-24.fasta	CP038408.1	2310511	2310912	flgE	1-402/1260	=====.../......	4/4	31.75	76.24	vfdb	YP_001006761	(flgE) flagellar hook protein FlgE [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]
86-24.fasta	CP038408.1	2312764	2313411	flgG	7-654/654	========/======	2/2	98.93	75.50	vfdb	YP_001006759	(flgG) flagellar basal-body rod protein FlgG [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]
86-24.fasta	CP038408.1	2313605	2314156	flgH	127-678/684	..=============	0/0	80.70	78.62	vfdb	YP_001006758	(flgH) flagellar L-ring protein precursor FlgH [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]
86-24.fasta	CP038408.1	2315385	2315561	flgJ	94-267/924	.====.../......	1/3	18.83	75.71	vfdb	YP_001006756	(flgJ) flagellar rod assembly protein/muramidase FlgJ [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]
86-24.fasta	CP038408.1	2398348	2400297	espX7/nleL	1-1950/1950	===============	0/0	100.00	99.95	vfdb	NP_287310	(espX7/nleL) Type III secretion system effector NleL putative E3 ubiquitin ligase [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	2401476	2404289	espN	1-2814/2814	===============	0/0	100.00	99.89	vfdb	NP_287312	(espN) Type III secretion system effector EspN [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	2404666	2404820	espK	1208-1362/1362	.............==	0/0	11.38	96.13	vfdb	NP_287316	(espK) Type III secretion system effector EspK [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	2406405	2406518	nleB2	868-981/981	.............==	0/0	11.62	87.72	vfdb	NP_286532	(nleB2) Type III secretion system effector NleB2 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	2406934	2408295	espK	1-1362/1362	===============	0/0	100.00	100.00	vfdb	NP_287316	(espK) Type III secretion system effector EspK [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	2588091	2588849	paa	1-759/759	===============	0/0	100.00	100.00	vfdb	NP_287515	(paa) outer membrane adhesin Paa [Paa (VF0194)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	2621610	2622256	nleG7'	1-648/648	========/======	1/1	99.85	99.85	vfdb	NP_287535	(nleG7') Type III secretion system effector NleG7 E3 Ubiquitin Ligase [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	2625577	2625691	astA	3-117/117	===============	0/0	98.29	90.44	vfdb	BAA94855	(astA) heat-stable enterotoxin 1 [EAST1 (VF0216)] [Escherichia coli O44:H18 042]
86-24.fasta	CP038408.1	2756838	2756968	entD	10-141/771	===...../......	2/3	16.86	87.22	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]
86-24.fasta	CP038408.1	2765594	2766853	espR1	1-1260/1260	===============	0/0	100.00	100.00	vfdb	NP_287686	(espR1) Type III secretion system effector espR1 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	3018790	3019380	espM1	1-591/591	===============	0/0	100.00	100.00	vfdb	NP_287949	(espM1) Type III secretion system effector EspM1 Rho guanine exchange factor [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	3024302	3024398	east1	21-117/117	..=============	0/0	82.91	97.94	vfdb	AHY03744	(east1) EAST1 [EAST1 (VF0188)] [Escherichia coli ONT:HND str. A16]
86-24.fasta	CP038408.1	3024818	3025387	nleF	1-570/570	===============	0/0	100.00	100.00	vfdb	NP_287958	(nleF) Type III secretion system effector NleF caspase inhibitor [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	3025453	3026364	nleH2	1-912/912	===============	0/0	100.00	100.00	vfdb	NP_287959	(nleH2) Type III secretion system effector NleH2 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	3028191	3029516	nleA/espI	1-1326/1326	===============	0/0	100.00	100.00	vfdb	NP_287961	(nleA/espI) Type III secretion system effector NleA [NleA/EspI (VF0338)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	3221963	3223861	espL1	1-1899/1899	===============	0/0	100.00	99.95	vfdb	NP_288154	(espL1) Type III secretion system effector espL1 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	3241995	3242116	entD	10-131/771	===...../......	2/2	15.69	81.30	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]
86-24.fasta	CP038408.1	3375516	3375627	entD	15-126/771	===...../......	2/2	14.40	90.27	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]
86-24.fasta	CP038408.1	3388138	3388525	cheY	1-388/390	===============	0/0	99.49	76.80	vfdb	YP_001006774	(cheY) chemotaxis regulatory protein CheY [peritrichous flagella (AI145)] [Yersinia enterocolitica subsp. enterocolitica 8081]
86-24.fasta	CP038408.1	3396022	3396410	cheA	1-389/2055	===............	0/0	18.93	75.32	vfdb	YP_001006780	(cheA) chemotaxis protein CheA [peritrichous flagella (AI145)] [Yersinia enterocolitica subsp. enterocolitica 8081]
86-24.fasta	CP038408.1	3443394	3443516	entD	15-137/771	===...../......	3/4	15.69	84.80	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]
86-24.fasta	CP038408.1	3452896	3454035	espR3	1-1140/1140	===============	0/0	100.00	99.56	vfdb	NP_288394	(espR3) Type III secretion system effector espR3 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	3454854	3455993	espR4	1-1140/1140	===============	0/0	100.00	100.00	vfdb	NP_288396	(espR4) Type III secretion system effector espR4 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	3458530	3459517	fliG	6-993/993	===============	0/0	99.50	78.24	vfdb	YP_001006742	(fliG) flagellar motor switch protein G [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]
86-24.fasta	CP038408.1	3460333	3461574	fliI	43-1281/1332	========/======	4/9	92.79	75.82	vfdb	YP_001006744	(fliI) flagellum-specific ATP synthase FliI [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]
86-24.fasta	CP038408.1	3463791	3464799	fliM	1-1005/1005	========/======	8/14	99.50	76.23	vfdb	YP_001006748	(fliM) flagellar motor switch protein FliM [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]
86-24.fasta	CP038408.1	3464945	3465204	fliN	157-416/417	.....==========	0/0	62.35	79.23	vfdb	YP_001006749	(fliN) flagellar motor switch protein FliN [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]
86-24.fasta	CP038408.1	3465633	3466309	fliP	10-686/687	========/======	2/2	98.40	76.55	vfdb	YP_001006751	(fliP) flagellar biosynthetic protein FliP [Flagella (VF0394)] [Yersinia enterocolitica subsp. enterocolitica 8081]
86-24.fasta	CP038408.1	3487731	3488384	espJ	1-654/654	===============	0/0	100.00	100.00	vfdb	NP_288436	(espJ) Type III secretion system effector EspJ adenosine diphosphate (ADP) ribosyltransferase  [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	3488709	3489701	espFu/tccP	1-993/1155	=============..	0/0	85.97	97.08	vfdb	NP_288437	(espFu/tccP) Type III secretion system effector TccP [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	3548839	3549879	ompA	1-1041/1041	===============	0/0	100.00	98.08	vfdb	AAF37887	(ompA) outer membrane protein A [OmpA (VF0236)] [Escherichia coli O18:K1:H7 str. RS218]
86-24.fasta	CP038408.1	3741137	3743149	espX2	1-2013/2013	===============	0/0	100.00	99.95	vfdb	NP_286562	(espX2) Type III secretion system effector EspX2 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	3760302	3760430	entD	1-131/771	===...../......	1/2	16.73	87.79	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]
86-24.fasta	CP038408.1	3769071	3769769	nleD	1-699/699	===============	0/0	100.00	99.86	vfdb	NP_286535	(nleD) Type III secretion system effector NleD [NleD (VF0343)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	3770000	3770881	nleH1	1-882/882	===============	0/0	100.00	100.00	vfdb	NP_286534	(nleH1) Type III secretion system effector NleH1 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	3771709	3772701	nleC	1-993/993	===============	0/0	100.00	100.00	vfdb	NP_286533	(nleC) Type III secretion system effector NleC  zinc metalloprotease  [NleC (VF0340)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	3772762	3773742	nleB2	1-981/981	===============	0/0	100.00	100.00	vfdb	NP_286532	(nleB2) Type III secretion system effector NleB2 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	3910405	3910526	entD	5-126/771	===...../......	2/2	15.69	88.62	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]
86-24.fasta	CP038408.1	3987606	3988352	entA	1-747/747	===============	0/0	100.00	96.12	vfdb	NP_752614	(entA) 23-dihydro-23-dihydroxybenzoate dehydrogenase [Enterobactin (VF0228)] [Escherichia coli CFT073]
86-24.fasta	CP038408.1	3988352	3989209	entB	1-858/858	===============	0/0	100.00	98.14	vfdb	NP_752613	(entB) isochorismatase [Enterobactin (VF0228)] [Escherichia coli CFT073]
86-24.fasta	CP038408.1	3989223	3990833	entE	1-1611/1611	===============	0/0	100.00	95.41	vfdb	NP_752612	(entE) 23-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]
86-24.fasta	CP038408.1	3990843	3992030	entC	1-1188/1188	===============	0/0	100.00	98.15	vfdb	NP_752611	(entC) isochorismate synthase 1 [Enterobactin (VF0228)] [Escherichia coli CFT073]
